source,target
목걸이 선물이 좋겠다,I would like a necklace gift.
목걸이 선물해볼까,Let's present a necklace
목돈 만들기,Making Making
목소리 좋은 사람이 좋아,Good person good
목욕탕 가서 때밀어야겠다,I have to push my bath when I go.
목욕탕 가야지,Bath
목이 바싹바싹 탄다,Wide thirsty
목이 뻐근해,The throat
목이 뻑뻑해,I'm stubborn.
목이 칼칼해,Neck
목표가 없어,I do not have a goal.
목표가 없어서 걱정임,I am worried because I do not have a goal
몰라서 당했어,I did not know.
몰랐구나,I did not know.
몸매가 탄탄하면 좋은데,"If the body is solid,"
몸무게 좀 줄었으면,If you have a little weight
몸살 감기에 걸릴 거 같아,I think I'll take a cold.
몸살 나서 힘들어,It's hard and hard.
몸살 났나봐,I think it's a body.
몸에 힘이 하나도 없어,There is no power in the body.
몸에서 멀어지면 맘에서도 멀어진데,"If you go away from your body,"
몸이 무거워,The body is heavy.
몸이 여러 개면 좋겠다,I wish many my body.
몸이 영 찌뿌둥해,The body is a spirit.
몸이 찌뿌둥해,The body is frown.
몸이 천근만근이다,Body is a bad place.
못 알아들었어,I did not know.
못하는 게 없는 사람,I can not do
못하는거 투성이야,I can not do it.
못하는게 너무 많아,There are so many
무기력증 극복하는 방법,How to overcome the inorganic
무기력증 어떻게 극복하지,How to overcome the inorganicism
무기력한 것일뿐,Weapons
무기력해,Weapon
무료 앱이 유료로 됐어,The free app was a charming.
무릎 쑤셔,Knee
무릎 아파,Knee
무릎 안 좋으면 스쿼트 하면 안되겠지,"If you do not sleep, you can not squat."
무리에 잘못 낀 듯,It's wrong
무사안일 기원,Marriage
무서운 꿈 꿨어,I had a scary dream.
무서운 이야기 해줄까,I wonder
무서워서 달려왔어,I'm afraid I've been running.
무서워서 뛰어 왔어,I'm afraid I've been jumping.
무서워요,scary
무슨 말을 해야할까,What should I say
무슨 매주 결혼식이야,What every week is a wedding.
무슨 생각해,What are you thinking about
무슨 향수가 좋을까,What perfume is good?
무지 덥다,Ignorance
무한리필 가면 너무 돼지처럼 보일까,If you do not have a pork too
무한리필 괜찮지 않아,I do not have to be okay.
문 안열림,Door
문 여는 소리같은게 나서 무서움,I do not know how to open the door
문 잠겼는데 집에 아무도 없네,"I did not sleep,"
문신하고 싶은데 후회할까,"I want to tattoo, but I will regret it."
문신하면 후회하려나,"If you take a tattoo,"
문열다 옆차랑 부딪혔어,I hit the door.
문이 안열려,Do not open the door
문자보낼 친구도 없어,I do not have a friend to send characters.
문콕당했어,I was in Munkok.
문콕한듯,Moonkok
문화가 너무 다른 것 같아,Culture seems to be too different.
문화센터 가야지,Cultural Center
문화센터라도 가야겠다,I have to go to Cultural Center.
물 끓여서 차 마셔야지,I have to drink water and drink tea.
물 끓여야지,I have to boil water.
물 너무 차가워,Water is too cold
물 마셔야지,I have to drink water.
물 마실라구,Water
물 많이 마셔야 돼,I have to drink a lot of water.
물 많이 마시라고 했는데,I told you to drink a lot of water.
물 자주 마셔야지,I should drink water often.
물 좋은데 어디야,I like water.
물 주문해야지,I need to order water.
물 차가워,Water cold
물 한 잔 마시기,Drink a glass of water
물가 왤케 비쌈,Waterfront 왤케 비 비
물가가 왜 이렇게 비쌈,"Why is the price of the water,"
물건 사는것도 힘드네,It's hard to live things.
물걸레질해야지,I have to hang up.
물리치료 받아야 하나,I have to take a physical treatment.
물리치료 받아야겠다,I have to get a physical treatment.
물배달 시켜야겠다,I have to rent it.
물이 안 나와,I do not get water.
물이 안나온데,I can not get water.
뭐 먹을 거 없나,I do not want to eat something.
뭐 먹을까,What should we eat
뭐 먹지,What to eat
뭐 물어 볼까,"Well, let's ask."
뭐 볼까,What do you see
뭐 이렇게 쉬운 게 없지,There's nothing like this.
뭐 입고 가지,"Well,"
뭐 입고 나가지,"Well,"
뭐 입지,What
뭐 좀 먹을까,What to eat
뭐 좀 물어 봐도 돼,I can ask you something.
뭐 좀 배워볼까봐,I'll learn something.
뭐 하는 중,What are you doing
뭐 하는지 궁금해,I wonder what you are doing
뭐 할줄 알아,I do not know what to do.
뭐 해,What are you doing
뭐 해주기가 싫어,I hate to do something.
뭐가 잘못된 걸까,What's wrong?
뭐가 중요한지 모르겠어,I do not know what's important.
뭐라 하려다 참았어,I told you what I wanted.
뭐라고 하고 싶었는데 참았어,I wanted to say what I wanted to say.
뭐라고,what
뭐라도 배워볼까,I'll learn anything.
뭐부터 바꿔야 할까,What should I change from
뭐야 너무 건방져,What is it?
뭐하고 놀지,What do you play
뭐하고 살지,What do you live
뭐하냐,What are you doing?
뭐하는 분이세요,What are you doing?
뭐하면 시간이 잘 갈까,What if you do?
뭐하면 시간이 잘 갈까,What if you do?
뭐하면서 노는 게 좋을까,"Well, what do you want to play"
뭐하면서 놀까,I played while playing
뭐할까,what should we do
뭐해 먹지,What are you eating?
뭔 날이여,What is it?
뭔 비밀이 그렇게 많은지,Something secret is so much
뭔 참견이야,Sell something.
뭔가 뒷맛이 쓰다,Backtake
뭔가 말해봐,Tell me something.
뭔가 무섭다,Something scary
뭔가 배워볼까,Let's learn something
뭔가 불공평해,Something unfair
뭔가 새로운 자극이 필요해,I need something new.
뭔가 수상한데,Something awarded
뭔가 자꾸 불안해,Something is nervous.
뭔가 찔려,Something stabbed
뭔가 취미생활 필요해,Something I need a hobby life
뭔가 해야 할까,What should I do?
뭘 바꿔야 할까,What should I change?
뭘 배워 볼까,What do you want to learn?
뭘 잘못했다는 걸까,What did you do wrong?
뭘 해도 재미없다,No matter what you do
뭘하면 행복할까,What do you think happily?
뭘해도 귀여워,What are you doing?
뭣이 중한지 모르겠어,I do not know what it is.
미끄러질 뻔했어,I almost slip.
미드 보고싶다,I want to see me
미래에 대한 고민,Worry about the future
미세먼지 나쁨인가,Is it fine dust bad
미세먼지 때문에 짜증나,I am annoyed because of fine dust
미세먼지 또 나쁨,Fine dust again
미세먼지 심하대,Fine dust
미세먼지 지수 뭐야,Fine dust index
미세먼지 지수 어떻대,Fine Dust Index How
미세먼지 최악인데,The fine dust is the worst.
미세먼지가 너무 많아,There are too many fine dust.
미세먼지가 너무 많아 하늘이 뿌옇다,"There are too many fine dusts,"
미세먼지가 너무 많아서 짜증나,It's too much fine dust.
미용 몸무게하고 싶다,I want to make a beauty weight
미용실 가서 머리해야지,I have to go to the beauty salon.
미용실 가야지,I have to go to the beauty salon.
미용실 갔다왔는데 티가 안 나,I went to the beauty salon.
미용실에서 너무 티 안 나게 머리를 잘라줬어,I cut my head so I did not even tee in the beauty salon.
미운 짓만 해,I'm afraid.
미워,I hate you
미워한다,Have you hate
미친 사람들이 너무 많아,There are so many crazy people
미친듯이 덥다,Crazy
미팅한다,Meeting
믿는 게 아니었어,I did not believe it.
믿지 말껄,I do not believe.
밉다 진짜,I hate it real
바나나 먹고 싶다,I want to eat banana
바나나 먹어야지,I have to eat banana.
바나나가 좋아,Banana likes
바다 가자고 하면 갈까,I'll go to the sea.
바다 놀러가고 싶다,I want to go to the sea.
바다 놀러가자고 해볼까,Let's try to go to sea
바다 보러 가자고 말해야겠다,I have to say that I'll go to the sea.
바다 보러 가자고 해볼까,Let's go to see the sea.
바다가 가고 싶어요,I want to go to the sea.
바라는게 없어,I do not want.
바라는게 없어,I do not want.
바람 많이 부네,A lot of winds
바람 분다,Wind
바람 쐬러 나갈까,I will go out
바람쐬러 정동진가,The wind
바람이 너무 많이 부네,The wind is too big.
바본가봐,Beekee
바쁘네,I'm busy.
바지 입을까 치마 입을까,I want to wear a skirt to wear pants
밖에 나가기 귀찮아,A bothering outside
밖에 안나가고 이렇게 살고 싶어,I do not go out and live like this.
밖에서 먹으니까 더 맛있어,It's more delicious because I eat outside.
반 배정 내가 원하는 대로 될까,I will do it what I want
반 배정 잘 될까,I'll be well-assigned.
반 배정 좀 잘 됐으면 좋겠다,I wish I had a good deal.
반가워,nice to meet you
반가워,nice to meet you
반가워요 반갑구만,Nice to meet you.
반갑습니다,nice to meet you
반딧불이 보고싶다,I want to see fireflies
반배정 망했어,I ran a half-pair.
반배정부터 올해 끝났다,It's over this year from the semi-corridor.
반에 친구가 없어,I do not have a friend in class.
반장 나가볼까,Let's go
반장 선거 나가볼까,I will go out
반장은 원래 힘들어,The tip is not originally difficult.
반장이라서 힘들어,It's hard because it's tilted.
반지 많이 비쌀까,Ring a lot of rice
반지 뭘로 선물할까,What do you present?
반지 받았어,I got a ring.
반지 비싼가,Ring expensive
반지 선물 뭘로 할까,What do you want to do with the ring gift?
반지 선물하려고,Trying to present a ring
반지 선물하면 좋아하겠지,I would like a ring when a ring.
반지 호수 모르는데,I do not know the ring lake.
반지 호수 물어볼까,Let's ask the ring lake.
발 부었어,I poured my feet.
발 아파,Foot
발레 배우려고,To learn ballet
발레 배워보려고,I want to learn ballet
발렌타인데이 선물 비싸,Valentine's Day gift expensive
발렌타인데이 선물 줄 사람이 없어,Valentine's Day gift is not a person.
발렌타인데이 초콜릿 비싸,Valentine's Day chocolate expensive
발렌타인데이인데 줄 사람이 없어,Valentine's Day is not a person.
발목 다쳤어,I was hurt.
발목 삐끗했어,I did it.
발목 삔 거 같애,I think I'm an ankle
발목 접질렀어,Ankle folding
발목 접질렀어,Ankle folding
발톱 손질 받을까,Claws criminal
발표 무사히 끝내고 싶어,I want to finish my announcement safely.
발표 잘 하고 싶어,I want to announce well
발표 준비 너무 힘들어,It's so hard to present your announcement.
발표 준비하느라 힘들어,It's hard to prepare for the announcement.
발표가 안나,Announcement
발표할때 너무 떨려,I'm so trapped when I announce
발표할때 자꾸 떨려,I keep shaking when I announce
밤 12시야,12 o'clock at night
밤 샜어,Night
밤샜어,Night
밤에 잠이 안 와,I do not sleep at night
밥 너무 많이 남음,Bob is too much left
밥 너무 많이 함,Too much rice
밥 먹다 옷에 흘렸어,I was shedding my clothes.
밥 먹다 흘렸어,I was shedding rice.
밥 먹어야지,I'll eat rice.
밥 먹었는데 배고파,"I ate rice,"
밥 먹었는데도 또 배고파,"I ate rice, but I also hungry"
밥 먹었니,Did you eat
밥 먹었어,Did you eat
밥 뭐 먹을까,What to eat
밥 잘 사주는 예쁜 누나 어디 없나,Where is the pretty sister who buys rice well
밥 탔다,I got rice.
밥 태웠어,I picked rice.
밥먹자,Let's eat
밥벌이 뭐하나,What is Bobgal?
밥생각이 없어,I do not have rice.
밥이 없어,I do not have rice.
밥이나 먹자,Feed rice
방들이 귀찮아,The rooms are annoying.
방들이 준비 뭐하지,What are you ready for room?
방법도 안 말해주고 그냥 열심히 하래,"I do not have a way,"
방심하는게 아니었어,I was not a vigilant.
방에 먼지가 한가득,A dust filled in a room
방탈출 게임 갔다왔어,I came to the game game.
방탈출 게임 했어,I played a room.
방학 끝나서 좋아,I like the end of vacation
방학 안 끝났으면 좋겠다,I wish I could not get the vacation.
방학에 만날 사람이 없네,I do not have anyone to meet in vacation.
방학은 너무 심심해,The vacation is so bored.
방학이 끝났다니,The vacation is over.
방학이 있었으면 좋겠어,I wish there was a vacation.
